start,end,today,consent,village_name,gvh_name,ta_name,farmer_gender,farmer_age,farmer_hoh,hoh_education,n_years_farming,own_livestock,own_livestock_animals,own_livestock_animals.cows,own_livestock_animals.chickens,own_livestock_animals.pigs,own_livestock_animals.goats,own_livestock_animals.sheep,own_livestock_animals.other,farming_main_income,household_main_income,n_acres_farm,n_acres_maize,source_water_farm,chem_fertilizer,chem_fertilizer_type,n_bags_npk,n_bags_npk_subsidized,price_bags_npk_nonsubsidized,price_bags_npk_subsidized,enough_bags_npk,n_bags_npk_desired,n_bags_npk_buying_next_year,n_bags_urea,n_bags_urea_subsidized,price_bags_urea_nonsubsidized,price_bags_urea_subsidized,enough_bags_urea,n_bags_urea_desired,n_bags_urea_buying_next_year,able_buy_bags_past,n_bags_maize_t1_season,n_bags_maize_t2_season,n_bags_maize_t3_season,fertilizer_comparison_5years,same_tool_for_fertilizer,single_tool_fertilizer,single_tool_fertilizer_other,tool_basal_fertilizer,tool_basal_fertilizer_other,tool_topdressing_fertilizer,tool_topdressing_fertilizer_other,timing_fertilizer,timing_fertilizer_mix_ntimes,timing_fertilizer_mix,timing_fertilizer_mix_other,place_fertilizer_mix,place_fertilizer_mix_other,ratio_fertilizer_mix_npk,ratio_fertilizer_mix_urea,timing_fertilizer_mix_t1,timing_fertilizer_mix_t1_other,place_fertilizer_mix_t1,place_fertilizer_mix_t1_other,ratio_fertilizer_mix_t1_npk,ratio_fertilizer_mix_t1_urea,timing_fertilizer_mix_t2,timing_fertilizer_mix_t2_other,place_fertilizer_mix_t2,place_fertilizer_mix_t2_other,ratio_fertilizer_mix_t2_npk,ratio_fertilizer_mix_t2_urea,timing_basal_fertilizer,timing_basal_fertilizer_other,place_basal_fertilizer,place_basal_fertilizer_other,timing_topdressing,timing_topdressing_other,place_topdressing,place_topdressing_other,basal_fertilizer_grams,topdressing_fertilizer_grams,know_recommended_tools,reason_no_use_scoop,reason_no_use_scoop_other,would_use_scoop_if_given,would_use_scoop_if_available,wtp_scoop,selling_points_scoop,selling_points_scoop_location,know_price_scoop,price_scoop,type_seed,n_seeds,planting_distance,ridges_distance,several_plants_emerging,intercropping,intercrop_type,intercrop_type_other,pesticide_use,fertilizer_subsidy_received,concern_fertilizer_removed,concern_fertilizer_removed_explain,fertilizer_programme_effective,fertilizer_programme_improvements,fertilizer_programme_improvements_explain,apply_org_fertilizer,origin_org_fertilizer,how_apply_org_fertilizer,challenges_org_fertilizer,type_challenges_org_fertilizer,type_challenges_org_fertilizer_other,sufficient_org_fertilizer,subsidies_org_fertilizer,health_soil_now,health_soil_t10,reasons_changes,suggestions_soil_improvement,final_comments,end_message,uuid
2024-07-29T14:11:55Z,2024-07-29T14:29:03Z,2024-07-29,Yes,Chikowa,Jana,Somba,Female,52,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,1,Rain-fed,Yes,Both,0.5,0,30000,NA,No,1,1,0.5,0,30000,NA,No,1,1,No,2,1.5,3,More,Yes,"Plastic bottle top of 500ml bottle (e.g., 500ml water bottle)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,Close (ca. 10cm) to the planting station,NA,21 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,11.7,7.399999999999999,Yes,Other,Not available,Yes,Yes,200,No,NA,No,NA,Local variety,2 seeds,30,72,Yes,Yes,Pigeon Peas,NA,No,No,Very concerned,Fertilizer is expensive,No,Yes,Reduce price for everyone,Yes,Making own composite from organic residues,Apply in planting stations before planting,No,NA,NA,No,Yes,Unhealthy,NA,Lack of enough manure and fertilizer,Applying more manure,No,NA,e19858b0-79fe-4cf6-85b5-976b8093118a
2024-07-29T09:02:22Z,2024-07-29T09:23:43Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Male,60,Yes,Primary,More than 5 years,Yes,goats,0,0,0,1,0,0,Yes,NA,0.8,0.8,Rain-fed,Yes,Both,1.5,1.5,NA,15000,Yes,NA,1.5,1.5,1.5,NA,15000,No,1.7,1.65,Yes,5,17,17,More,No,NA,NA,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,Teaspoon,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,8,7,Yes,Mine is just as good,NA,Yes,Yes,1000,No,NA,No,NA,Local variety,1 seed,25,75,Yes,Yes,Beans,NA,No,Yes,Very concerned,We can't afford to buy fertiliser,Yes,Yes,It reaches the right people so no need to make adjustments,Yes,Manure from own livestock,Apply in planting stations before planting,Yes,Other,It can heat up the plants,No,Yes,Unhealthy,NA,Not using organic fertiliser first time,More organic fertiliser as I started doing,Asking not to be abandoned when it comes to fertiliser,NA,043c3c13-6dd1-4ad1-a29f-a4b0c92fb1df
2024-07-29T09:36:12Z,2024-07-29T10:06:42Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Male,46,Yes,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,1,1,Rain-fed,Yes,Both,2,1,32000,15000,No,6,3,2,1,68000,15000,No,3,2,Yes,15,12,15,More,Yes,Hands,NA,NA,NA,NA,NA,At the same time,Twice,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,1,2,21 days after germination,NA,In the hole of the planting station,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,No,1000,No,NA,No,NA,Local variety,2 seeds,25,65,No,No,NA,NA,No,Yes,Very concerned,Can't afford to buy fertiliser,No,Yes,Sometimes we don't get it,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,No,Yes,Unhealthy,NA,Don't know,I am applying organic manure,My request is to get both fertiliser and seeds as before. Fertiliser should not be expensive and should be available,NA,ac810c21-d49c-4bc7-b342-717d3437351f
2024-07-29T10:09:53Z,2024-07-29T10:25:06Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Male,23,Yes,Primary,Between 2 and 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),0.5,0.5,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,1,2,0,Not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Too expensive to buy,NA,No,No,500,No,NA,No,NA,Local variety,3 seeds,25,65,No,No,NA,NA,No,No,Very concerned,We will still beck concerned as we hope to get one someday,No,Yes,At least we also need to be getting,Yes,Making own composite from organic residues,Apply in planting stations before planting,Yes,Not able to buy/produce enough,NA,No,Yes,Unhealthy,NA,Maybe soil,Use of organic fertiliser,NA,NA,c445c09d-6bc2-4097-8ff0-c381b4cd5fce
2024-07-29T11:55:30Z,2024-07-29T12:22:14Z,2024-07-29,Yes,Naphonera,Mkwapatira,Somba,Female,38,Yes,Primary,More than 5 years,Yes,cows,1,0,0,0,0,0,Yes,NA,1.2,1.2,Rain-fed,Yes,Both,2,1,100000,1,Yes,NA,2,2,1,100000,30000,Yes,NA,2,Yes,5,15,15,Same,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At the same time,Twice,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,2,1,Other,According to size,In the hole of the planting station,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other,Received from one acre fund,Yes,No,1000,No,NA,No,NA,Hybrid,2 seeds,35,67,No,Yes,Beans,NA,No,Yes,Very concerned,It's beneficial as that's what we rely on,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,No,Not sure,Unhealthy,NA,"Overtime with planting,  soil lost its fertility",I began applying cows manure and that should do the job,NA,NA,842afde4-1640-4cf7-a8db-225f5121bf57
2024-07-29T12:22:44Z,2024-07-29T12:44:17Z,2024-07-29,Yes,Mkwapatira,Mkwapatira,Somba,Female,48,Yes,Primary,More than 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,1,0.5,Rain-fed,Yes,Both,2,1,80000,30000,No,2.5,NA,2,1,80000,30000,No,2.5,NA,Yes,3,22,25,More,Yes,Teaspoon,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,11.099999999999998,7.099999999999998,Yes,Don't know where to buy one,NA,Yes,Yes,800,No,NA,No,NA,Hybrid,2 seeds,25,65,Yes,Yes,Other,Soya,Yes,Yes,Very concerned,"Money value has depreciated,",Not sure,No,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Yes,Yes,Unhealthy,NA,Continuous farming,"Use of organic fertiliser,  box ridges to maintain soil fertility",NA,NA,762c7b2b-9379-46ba-9866-b553c8523605
2024-07-29T12:45:57Z,2024-07-29T12:59:54Z,2024-07-29,Yes,Naphonera,Mkwapatira,Somba,Female,38,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,0.5,0.5,Rain-fed,Yes,Both,1,1,NA,30000,No,1.5,1.5,1.5,1,40000,1,Yes,NA,1.5,Yes,2,10,10,Not sure,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,Other,After a specific size is reached,In the hole of the planting station,NA,8.7,6.699999999999999,Yes,Mine is just as good,NA,Yes,Yes,1000,No,NA,No,NA,Hybrid,2 seeds,35,65,No,Yes,Pigeon Peas,NA,Yes,Yes,Very concerned,It's helpful if I'm to afford buying fertiliser,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Not sure,Not sure,Moderately healthy,NA,Don't know,Use of organic fertiliser,NA,NA,648546b7-6e95-4394-835f-36da89b7c4a3
2024-07-29T13:01:39Z,2024-07-29T13:12:02Z,2024-07-29,Yes,Namphonera,Mkwapatira,Somba,Female,60,Yes,None,More than 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,1.3,1.2,Rain-fed,Yes,Both,2,1,80000,30000,Yes,NA,2,2,1,100000,30000,Yes,NA,2,Yes,5,30,30,Not sure,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,Other,At a specific size,In the hole of the planting station,NA,9.8,8.599999999999998,Yes,Other,Don't really think about it,Yes,Yes,1000,No,NA,No,NA,Hybrid,2 seeds,35,67,No,Yes,Pigeon Peas,NA,Yes,Yes,Very concerned,Empowers us to have fertiliser,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Not sure,Not sure,Unhealthy,NA,Continuous farming,Use of organic fertiliser,NA,NA,acb3b01a-6530-4afe-a018-a71f9ed1fc52
2024-07-29T13:12:16Z,2024-07-29T13:24:32Z,2024-07-29,Yes,Namphonera,Mkwapatira,Somba,Female,37,Yes,Primary,More than 5 years,Yes,cows,1,0,0,0,0,0,Yes,NA,1,0.7,Rain-fed,Yes,Both,2,1,100000,30000,Yes,NA,2,2,1,100000,30000,Yes,NA,2,Yes,6,35,35,Same,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,Other,Specific height level like 1 meter,In the hole of the planting station,NA,10.2,6.899999999999999,Yes,Other,Don't think about it really,Yes,Yes,1000,No,NA,No,NA,Hybrid,2 seeds,20,65,Yes,Yes,Pigeon Peas,NA,Yes,Yes,Very concerned,Helps us reach the required amount for our fields,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Yes,Yes,Unhealthy,NA,Don't know,Organic fertiliser,NA,NA,563249d5-c48b-4952-9715-a00c6e7458dc
2024-07-29T13:26:18Z,2024-07-29T13:36:27Z,2024-07-29,Yes,Namphonera,Mkwapatira,Somba,Female,40,Yes,None,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1.2,1.2,Rain-fed,Yes,Both,2,1,100000,30000,Yes,NA,2,2,1,100000,30000,Yes,NA,2,Yes,1.5,25,25,Same,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,Other,About 1 meter maize height,In the hole of the planting station,NA,11.2,6.899999999999999,Yes,Other,I Don't think about it,Yes,Yes,1000,No,NA,No,NA,Hybrid,2 seeds,33,62,No,Yes,Pigeon Peas,NA,Yes,Yes,Very concerned,Helps us reach full fertiliser amount for our field,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Not sure,Not sure,Unhealthy,NA,Land is stony,Organic fertiliser,NA,NA,bfa404bf-523d-40cb-989a-2860c2120785
2024-07-29T13:38:51Z,2024-07-29T13:47:14Z,2024-07-29,Yes,Namphonera,Mkwapatira,Somba,Male,42,Yes,Primary,More than 5 years,Yes,chickens,0,1,0,0,0,0,No,Informal employment (self),0.7,0.7,Rain-fed,Yes,Both,1,1,NA,30000,Yes,NA,1,1,1,NA,30000,Yes,NA,1,Yes,4,8,8,Not sure,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 days after germination,NA,In the hole of the planting station,NA,Other,About 1 meter maize stem height,In the hole of the planting station,NA,9.3,5.399999999999999,Yes,Other,Not really concerned,Yes,Yes,1000,No,NA,No,NA,Hybrid,2 seeds,30,65,No,Yes,Pigeon Peas,NA,Yes,Yes,Very concerned,It's like a disount,Not sure,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,No,NA,NA,Not sure,Not sure,Unhealthy,NA,Continuous farming,More organic fertiliser,NA,NA,8585c3b3-d191-4978-903b-fbe0d123c871
2024-07-29T09:04:23Z,2024-07-29T19:20:53Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Female,46,Yes,Secondary,More than 5 years,Yes,chickens cows,1,1,0,0,0,0,Yes,NA,1,1,Rain-fed,Yes,Both,0.75,0,72000,NA,No,1,1,0.5,0,40000,NA,No,1,1,No,3,7,12,More,Yes,Tablespoon,NA,NA,NA,NA,NA,At the same time,Twice,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the middle of two planting stations,NA,2,1,21 days after germination,NA,In the middle of two planting stations,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Had one and lost it,NA,Yes,Yes,200,No,NA,No,NA,Hybrid,1 seed,22,80,No,Yes,Sweet potato,NA,No,No,Not concerned,Will just accept the situation,No,No,NA,Yes,Manure from own livestock,Apply between the the ridges before making the ridges,Yes,Other,If there is no enough rainfall the manure destroys crops.,No,No,Unhealthy,NA,Because there is a lot of sand hence requires fertiliser,Continue application of organic fertiliser,NA,The knowledge of combining the fertiliser where actually acquired from the training attend and facilitated by the agricultural coordinator,a3df7cd2-399d-4ed2-bacd-5d0f3a76cffd
2024-07-29T09:39:18Z,2024-07-29T19:20:46Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Female,56,Yes,Primary,More than 5 years,Yes,cows,1,0,0,0,0,0,Yes,NA,1.5,1.5,Rain-fed,Yes,Both,0.5,0.5,NA,15000,No,2,2,0.5,0.5,NA,15000,No,2,2,No,2,3,6,More,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At the same time,Twice,NA,NA,NA,NA,NA,NA,7 days after germination,NA,Close (ca. 10cm) to the planting station,NA,2,1,Other,A month,Close (ca. 10cm) to the planting station,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,Never heard of it,Yes,Yes,200,No,NA,No,NA,OPV (Open Pollinated Varieties),2 seeds,35,60,No,Yes,Other,Vegetables,Yes,Yes,Not concerned at all,Because it really seems that it is actually what is bringing us back. Gives is the dependency syndrome. When we could have just work hard on our on and buy by ourselves.,No,No,NA,Yes,Manure from own livestock,Apply between the the ridges before making the ridges,No,NA,NA,No,No,Unhealthy,NA,Because of poor farming practices,Continue application of chemical fertiliser,NA,NA,26f58646-1a3b-4417-af3d-f0534361d123
2024-07-29T11:56:23Z,2024-07-29T19:20:34Z,2024-07-29,Yes,Kwapatira,Kwapatira,Somba,Female,24,No,Secondary,Between 2 and 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),0.7,0.7,Rain-fed,Yes,NPK,0.2,0,19000,NA,No,0.5,0.5,NA,NA,NA,NA,NA,NA,0,No,0.3,0,0.2,More,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,Never heard it,Yes,No,500,No,NA,No,NA,Local variety,3 seeds,40,65,Yes,No,NA,NA,No,No,Not concerned at all,Because i have never benefited from it,No,No,NA,Yes,Other,Apply in planting stations before planting,No,NA,NA,No,No,Moderately healthy,NA,Type of soil,Kutembenuza nthaka,NA,NA,c01f46fc-a056-43c3-92a5-503d32a2cc6e
2024-07-29T12:20:24Z,2024-07-29T19:20:24Z,2024-07-29,Yes,Kwapatira,Kwapatira,Somba,Female,25,No,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),0.4,0.4,Rain-fed,Yes,Both,0.3,0,28500,NA,No,0.5,0.5,0.3,0,28500,NA,No,0.5,0.5,No,1,3,5,More,Yes,"Plastic bottle top of 500ml bottle (e.g., 500ml water bottle)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the middle of two planting stations,NA,21 days after basal application,NA,In the middle of two planting stations,NA,11.8,6,No,Other,Never heard of it,Yes,Yes,1000,No,NA,No,NA,Local variety,1 seed,30,67,Yes,Yes,Beans,NA,No,No,Not concerned,Never benefited from that,No,No,NA,No,NA,NA,NA,NA,NA,No,No,Healthy,NA,Because am able to produce more yields if i apply enough fertiliser,Use of organic fertiliser,NA,NA,db86c00a-1107-4751-aa73-ae9eadefbaf1
2024-07-29T12:57:19Z,2024-07-29T19:18:20Z,2024-07-29,Yes,Kwapatira,Kwapatira,Somba,Female,68,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,3,3,Rain-fed,Yes,Both,2,1,75000,30000,Yes,NA,2,1,1,NA,30000,No,2,2,Yes,7,28,45,Same,Yes,Recommended fertilizer cup (cup #5),NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,6.399999999999999,4.799999999999999,Yes,Other,The respondent uses the cup,Yes,Yes,2000,Yes,Inside a fertiliser bag (agro dealer),No,NA,OPV (Open Pollinated Varieties),3 seeds,35,80,Yes,Yes,Beans,NA,No,Yes,Very concerned,Because we buy at a cheaper price,No,No,NA,Yes,Buying manure,Apply in planting stations before planting,Yes,Other,Can't afford to buy the required amount,No,No,Very unhealthy,NA,Using the same land for farming continuously,Application of manure,NA,NA,25d2d7d9-175d-4091-b9b4-8df3211d8f05
2024-07-29T13:22:10Z,2024-07-29T19:20:08Z,2024-07-29,Yes,Naphonera,Kwapatira,Somba,Female,47,No,Primary,More than 5 years,Yes,goats chickens,0,1,0,1,0,0,Yes,NA,2,2,Rain-fed,Yes,Both,1,1,NA,15000,Yes,NA,1.5,1,1,NA,15000,Yes,NA,1.5,Yes,6,15,20,Same,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,3.5999999999999996,6.099999999999998,Yes,Too expensive to buy,NA,Yes,Yes,200,No,NA,No,NA,Local variety,2 seeds,35,100,Yes,Yes,Pigeon Peas,NA,Yes,No,Very concerned,Because we buy at a cheaper price,No,No,NA,No,NA,NA,NA,NA,NA,No,No,Healthy,NA,Because everytime am able to harvest some yields unlike others,Burring dried crops remains,we should try to help farmers with fertiliser and recommended seeds,NA,ab989ff0-4fa8-4352-9ce9-acb52d1907a6
2024-07-29T13:46:13Z,2024-07-29T19:16:26Z,2024-07-29,Yes,Naphonera,Kwapatira,Somba,Female,50,No,Primary,More than 5 years,Yes,chickens other,0,1,0,0,0,1,Yes,NA,1.8,1.8,Rain-fed,Yes,Both,1,1,NA,15000,Yes,NA,1,1,1,NA,15000,Yes,NA,1,Yes,2,5,7,Same,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,6.599999999999998,8.099999999999998,Yes,Too expensive to buy,NA,No,Yes,300,No,NA,No,NA,Local variety,2 seeds,30,90,Yes,Yes,Pigeon Peas,NA,No,Yes,Very concerned,Because it's affordable,No,No,NA,No,NA,NA,NA,NA,NA,No,No,Healthy,NA,Because am able to produce yields everytime,Burring crops remains in the farm which ensures crops not to dry,We farmers need help because farming is what we depend on. Help interms of seeds and fertiliser.,NA,0407fd62-8331-4b68-a3f0-649eaab2f081
2024-07-30T07:48:46Z,2024-07-30T08:03:47Z,2024-07-30,Yes,Daviti,Mwangata,Somba,Female,20,No,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,No,Informal employment (self),3,2,Both,Yes,NPK,1,0,90000,NA,No,4,1,NA,NA,NA,NA,NA,NA,1,No,12,20,30,More,Yes,"Plastic bottle top of 330ml bottle (e.g., 330ml soft drink)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,100,No,NA,No,NA,Local variety,3 seeds,40,70,Yes,Yes,Pigeon Peas,NA,Yes,No,Very concerned,"I can not afford fertilizer from agricultural shops, so at leat subsidy fertilizer help us to meet our agricultural needs",Yes,Not sure,NA,No,NA,NA,NA,NA,NA,Yes,Yes,Moderately healthy,NA,Because with insufficient fertilizer i do manage to harvest,Apply manure,No,NA,b627eb44-39a4-4242-8672-e2845bbf9452
2024-07-30T08:03:58Z,2024-07-30T08:26:15Z,2024-07-30,Yes,David,Mwangata,Somba,Female,36,No,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,2,1.5,Rain-fed,Yes,Both,2,1,72000,15000,No,3,NA,2,1,80000,15000,No,3,NA,No,2.5,36,18,More,Yes,"Plastic bottle top of 330ml bottle (e.g., 330ml soft drink)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,7 days after basal application,NA,In the hole of the planting station,NA,11.7,7.300000000000001,No,Don't know where to buy one,NA,No,No,200,No,NA,No,NA,Hybrid,3 seeds,45,90,Yes,Yes,Pigeon Peas,NA,No,Yes,Very concerned,"We do depend on subsidy, since fertilizer is not affordable here",Yes,Not sure,NA,No,NA,NA,NA,NA,NA,Yes,Yes,Moderately healthy,NA,Because it helps us to grow a little without manure and fertilizer,Apply manure,No,NA,0b08953c-3298-450a-9743-1564974f82d2
2024-07-30T08:26:51Z,2024-07-30T08:41:24Z,2024-07-30,Yes,David,Mwangata,Somba,Female,40,No,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),2.5,2.5,Rain-fed,Yes,Both,0.1,0,8500,NA,No,2.5,NA,0.1,0,8500,NA,No,2.5,NA,No,2,3,5,More,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,7.800000000000001,5.5,No,Don't know where to buy one,NA,Yes,No,200,No,NA,No,NA,Local variety,3 seeds,40,95,Yes,Yes,Pigeon Peas,NA,No,No,Concerned,"Fertilizer is expensive, we do depend on subsidy thou not always since we only receive subsidy by chance",Yes,Not sure,NA,No,NA,NA,NA,NA,NA,Not sure,Yes,Unhealthy,NA,Because it only produce when we apply fertilizer,Apply organic manure,No,NA,6dd12d4c-831a-4132-8cd6-c71f1e349576
2024-07-30T08:42:24Z,2024-07-30T08:59:28Z,2024-07-30,Yes,Davis,Mwangata,Somba,Female,48,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2,1.5,Rain-fed,Yes,Both,1,1,NA,15000,No,2,NA,1,1,NA,15000,No,2,NA,No,1,7,15,More,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,In the hole of the planting station,NA,7 days after basal application,NA,In the hole of the planting station,NA,13.5,9,No,Don't know where to buy one,NA,Yes,Yes,1000,No,NA,No,NA,Local variety,2 seeds,35,80,Yes,No,NA,NA,No,Yes,Very concerned,We only depend on subsidy fertilizer,Yes,Not sure,NA,No,NA,NA,NA,NA,NA,Not sure,Not sure,Unhealthy,NA,It only depends on fertilizer to give good results,Apply manure,NA,NA,b1dff4d6-a30e-4a42-9490-58db7de3828d
